h3,lat,lon,status,stored_lcoh_solar,stored_lcoh_wind,stored_lcoh_best,solar_lcoh,wind_lcoh,lcoh_delta_solar,lcoh_delta_wind,solar_cf,wind_cf,solar_c_electricityPv,solar_c_electricityWind,solar_c_electricityGrid,solar_c_electrolyzerCapex,solar_c_stackReplacements,solar_c_electrolyzerOpex,solar_c_water,wind_c_electricityPv,wind_c_electricityWind,wind_c_electricityGrid,wind_c_electrolyzerCapex,wind_c_stackReplacements,wind_c_electrolyzerOpex,wind_c_water,solar_util,wind_util,solar_ely_cf,wind_ely_cf,solar_flh,wind_flh,solar_operating_hours,wind_operating_hours,solar_stack_replacements,wind_stack_replacements,solar_curtail_frac,wind_curtail_frac,solar_lcoe_usd_mwh,wind_lcoe_usd_mwh,solar_lcoe_per_consumed,wind_lcoe_per_consumed,pv_provider,pv_dataset_version,pv_valid,pv_reasons,wind_provider,wind_dataset_version,wind_valid,wind_reasons,lcoh_wacc_2024,lcoh_optimal_2024,optimal_ratio,optimal_pv_share,engine_version
838ca9fffffffff,-4.3699,104.5990,ready,10.5320,35.0050,10.5320,10.5318,35.0049,-0.000192,-0.000071,0.1558,0.0591,4.3629,0.0000,0.0000,5.4666,0.0000,0.6977,0.0045,0.0000,18.7401,0.0000,14.4198,0.0000,1.8405,0.0045,0.9438,0.9435,0.2942,0.1115,2576.9,976.9,4379.0,4060.0,0,0,0.0562,0.0565,68.47,294.03,72.55,311.64,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt4a180-2014-2023/tmy-v1,true,"",open-meteo,om-era5-2015-2024-hub120-iec-class-III-5.6MW-airdensity/tmy-v1,true,"",,,,,0.1.0
838cf4fffffffff,-4.6625,103.5034,ready,10.7030,42.2980,10.7030,10.7034,42.2980,0.000351,0.000049,0.1544,0.0500,4.4340,0.0000,0.0000,5.5557,0.0000,0.7091,0.0045,0.0000,22.6450,0.0000,17.4245,0.0000,2.2240,0.0045,0.9376,0.9220,0.2895,0.0923,2535.6,808.5,4377.0,3412.0,0,0,0.0624,0.0780,69.13,347.21,73.74,376.58,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt5a180-2014-2023/tmy-v1,true,"",open-meteo,om-era5-2015-2024-hub120-iec-class-III-5.6MW-airdensity/tmy-v1,true,"",,,,,0.1.0
836885fffffffff,1.3981,115.1772,ready,11.7670,,11.7670,11.7670,,-0.000032,,0.1361,,4.8748,0.0000,0.0000,6.1080,0.0000,0.7796,0.0045,,,,,,,,0.9671,,0.2633,,2306.3,,4330.0,,0,,0.0329,,78.40,,81.07,,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt1a0-2014-2023/tmy-v1,true,"",,,,"",,,,,0.1.0
836525fffffffff,0.1659,102.8975,ready,11.3920,42.5120,11.3920,11.3922,42.5124,0.000218,0.000392,0.1403,0.0463,4.7195,0.0000,0.0000,5.9134,0.0000,0.7548,0.0045,0.0000,22.7598,0.0000,17.5129,0.0000,2.2353,0.0045,0.9692,0.9909,0.2719,0.0918,2382.2,804.4,4379.0,4379.0,0,0,0.0308,0.0091,76.06,375.05,78.48,378.48,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt0a0-2014-2023/tmy-v1,true,"",open-meteo,om-era5-2015-2024-hub120-iec-class-III-5.6MW-airdensity/tmy-v1,true,"",,,,,0.1.0
83652efffffffff,1.7960,101.2987,ready,10.7020,60.9340,10.7020,10.7021,60.9344,0.000109,0.000421,0.1519,0.0322,4.4335,0.0000,0.0000,5.5551,0.0000,0.7090,0.0045,0.0000,32.6234,0.0000,25.1026,0.0000,3.2040,0.0045,0.9528,0.9944,0.2895,0.0641,2535.9,561.2,4351.0,3795.0,0,0,0.0472,0.0056,70.25,539.48,73.73,542.51,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt2a0-2014-2023/tmy-v1,true,"",open-meteo,om-era5-2015-2024-hub120-iec-class-III-5.6MW-airdensity/tmy-v1,true,"",,,,,0.1.0
838cf0fffffffff,-3.8876,102.7225,ready,10.6890,31.4230,10.6890,10.6888,31.4231,-0.000217,0.000143,0.1554,0.0629,4.4280,0.0000,0.0000,5.5481,0.0000,0.7081,0.0045,0.0000,16.8223,0.0000,12.9442,0.0000,1.6521,0.0045,0.9329,0.9875,0.2898,0.1242,2539.0,1088.3,4373.0,5764.0,0,0,0.0671,0.0125,68.69,276.26,73.64,279.75,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt4a180-2014-2023/tmy-v1,true,"",nasa-power,nasa-power-2015-2024-hub120-generic-5.6MW/tmy-v1,true,"",,,,,0.1.0
83689efffffffff,-2.4985,114.8726,ready,10.9630,65.2620,10.9630,10.9626,65.2617,-0.000402,-0.000315,0.1487,0.0301,4.5415,0.0000,0.0000,5.6903,0.0000,0.7263,0.0045,0.0000,34.9403,0.0000,26.8853,0.0000,3.4315,0.0045,0.9505,0.9938,0.2826,0.0598,2475.6,524.0,4373.0,2864.0,0,0,0.0495,0.0062,71.79,577.45,75.52,581.04,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt2a180-2014-2023/tmy-v1,true,"",open-meteo,om-era5-2015-2024-hub120-iec-class-III-5.6MW-airdensity/tmy-v1,true,"",,,,,0.1.0
838cb4fffffffff,-2.6121,111.0570,ready,10.8420,29.0650,10.8420,10.8415,29.0651,-0.000478,0.000132,0.1507,0.0681,4.4913,0.0000,0.0000,5.6275,0.0000,0.7183,0.0045,0.0000,15.5598,0.0000,11.9727,0.0000,1.5281,0.0045,0.9481,0.9861,0.2858,0.1343,2503.3,1176.6,4351.0,4905.0,0,0,0.0519,0.0139,70.81,255.15,74.69,258.75,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt3a180-2014-2023/tmy-v1,true,"",open-meteo,om-era5-2015-2024-hub120-iec-class-III-5.6MW-airdensity/tmy-v1,true,"",,,,,0.1.0
836892fffffffff,-3.0778,112.8189,ready,10.4340,20.5550,10.4340,10.4340,20.5552,-0.000032,0.000243,0.1596,0.0992,4.3224,0.0000,0.0000,5.4158,0.0000,0.6913,0.0045,0.0000,11.0034,0.0000,8.4667,0.0000,1.0807,0.0045,0.9300,0.9569,0.2969,0.1899,2601.1,1663.8,4305.0,5582.0,0,0,0.0700,0.0431,66.85,175.10,71.88,182.98,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt3a180-2014-2023/tmy-v1,true,"",open-meteo,om-era5-2015-2024-hub120-iec-class-III-5.6MW-airdensity/tmy-v1,true,"",,,,,0.1.0
836521fffffffff,0.9780,102.1012,ready,11.4070,64.5810,11.4070,11.4072,64.5809,0.000172,-0.000099,0.1402,0.0303,4.7257,0.0000,0.0000,5.9212,0.0000,0.7558,0.0045,0.0000,34.5758,0.0000,26.6049,0.0000,3.3957,0.0045,0.9688,0.9966,0.2716,0.0604,2379.1,529.5,4376.0,3779.0,0,0,0.0312,0.0034,76.14,573.02,78.59,574.98,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt1a0-2014-2023/tmy-v1,true,"",open-meteo,om-era5-2015-2024-hub120-iec-class-III-5.6MW-airdensity/tmy-v1,true,"",,,,,0.1.0
